spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,5,1,1,1,0,-5,1,1.5419309389230644,0.874670939323912,0.0,0.8,0.7610690166281516,299792458
0,5,1,1,1,1,-7,0,1.3147083516455735,0.7457773625542399,0.0,1.0,0.760177549404832,299792458
0,4,1,1,1,1,-8,0,1.3147083516455735,0.7457773625542399,0.0,1.0,0.760177549404832,299792458
0,1,1,1,1,0,-6,0,1.536590742882148,0.8716416763592915,0.0,0.8,0.7594029219976104,299792458
0,4,1,1,1,0,-7,1,1.536590742882148,0.8716416763592915,0.0,0.8,0.7594029219976104,299792458
0,-3,1,1,1,0,-6,0,1.536590742882148,0.8716416763592915,0.0,0.8,0.7594029219976104,299792458
0,5,1,1,1,0,-3,0,1.536590742882148,0.8716416763592915,0.0,0.8,0.7594029219976104,299792458
0,4,1,1,1,0,-4,0,1.534375570068383,0.8703851043320553,0.0,0.8,0.7587118073826304,299792458
0,-2,1,1,1,0,-7,0,1.534375570068383,0.8703851043320553,0.0,0.8,0.7587118073826304,299792458
0,3,1,1,1,0,-5,0,1.534375570068383,0.8703851043320553,0.0,0.8,0.7587118073826304,299792458
0,-6,1,1,1,1,-2,1,1.3095238095238095,0.7428363953467365,0.0,1.0,0.7585600174407051,299792458
0,-6,1,1,1,1,2,1,1.3095238095238095,0.7428363953467365,0.0,1.0,0.7585600174407051,299792458
0,-6,1,1,1,1,-1,0,1.3095238095238095,0.7428363953467365,0.0,1.0,0.7585600174407051,299792458
0,-6,1,1,1,1,5,0,1.3095238095238095,0.7428363953467365,0.0,1.0,0.7585600174407051,299792458
0,-6,1,1,1,1,2,0,1.3036665544765544,0.7395138271014813,0.0,1.0,0.7567326049058147,299792458
0,-6,1,1,1,1,-1,1,1.3036665544765544,0.7395138271014813,0.0,1.0,0.7567326049058147,299792458
0,-6,1,1,1,1,0,0,1.3036665544765544,0.7395138271014813,0.0,1.0,0.7567326049058147,299792458
